rank_relevance,paper_id,doi,title,year,venue,authors,citation_count,source_url,seed_query,query_tag,category,concepts,abstract,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,hostile_score,importance_stage,notes
94,https://openalex.org/W3185438435,https://doi.org/10.3389/frobt.2021.686723,Robotic Manipulation and Capture in Space: A Survey,2021,Frontiers in Robotics and AI,Evangelos Papadopoulos; Farhad Aghili; Ou Ma; Roberto Lampariello,199,https://doi.org/10.3389/frobt.2021.686723,sim-to-real robotics,sim_to_real_core,contact_manipulation,Computer science; Orbital mechanics; Space debris; Motion capture; Orbit (dynamics); Key (lock); Orbital maneuver; Space (punctuation); Satellite; Grippers; Motion (physics); Trajectory,"Space exploration and exploitation depend on the development of on-orbit robotic capabilities for tasks such as servicing of satellites, removing of orbital debris, or construction and maintenance of orbital assets. Manipulation and capture of objects on-orbit are key enablers for these capabilities. This survey addresses fundamental aspects of manipulation and capture, such as the dynamics of space manipulator systems (SMS), i.e., satellites equipped with manipulators, the contact dynamics between manipulator grippers/payloads and targets, and the methods for identifying properties of SMSs and their targets. Also, it presents recent work of sensing pose and system states, of motion planning for capturing a target, and of feedback control methods for SMS during motion or interaction tasks. Finally, the paper reviews major ground testing testbeds for capture operations, and several notable missions and technologies developed for capture of targets on-orbit.","Transfer contact-rich manipulation skills despite friction, compliance, geometry, and sensing gaps.","Model, randomize, or learn contact dynamics and manipulation policies.",Contact uncertainty can be represented as parameters or broad robustness margins.,"Failure onset signatures, controller repair choices, and mechanism-specific contact probes.",Ambiguous contacts with identical task statistics but opposite corrective actions.,Showing that contact dynamics matter for sim-to-real manipulation.,Failure-mechanism diagnosis for contact repairs under few real interactions.,16,hostile_prior_work_100,
95,https://openalex.org/W2795910581,https://doi.org/10.48550/arxiv.1612.07139,A Survey of Deep Network Solutions for Learning Control in Robotics: From Reinforcement to Imitation,2016,arXiv (Cornell University),Lei Tai; Jingwei Zhang; Ming Liu; Joschka Boedecker; Wolfram Burgard,70,http://arxiv.org/abs/1612.07139,sim-to-real robotics,sim_to_real_core,policy_transfer,Imitation; Reinforcement learning; Artificial intelligence; Robotics; Control (management); Reinforcement; Computer science; Robot; Psychology; Social psychology; Imitation; Reinforcement learning,"Deep learning techniques have been widely applied, achieving state-of-the-art results in various fields of study. This survey focuses on deep learning solutions that target learning control policies for robotics applications. We carry out our discussions on the two main paradigms for learning control with deep networks: deep reinforcement learning and imitation learning. For deep reinforcement learning (DRL), we begin from traditional reinforcement learning algorithms, showing how they are extended to the deep context and effective mechanisms that could be added on top of the DRL algorithms. We then introduce representative works that utilize DRL to solve navigation and manipulation tasks in robotics. We continue our discussion on methods addressing the challenge of the reality gap for transferring DRL policies trained in simulation to real-world scenarios, and summarize robotics simulation platforms for conducting DRL research. For imitation leaning, we go through its three main categories, behavior cloning, inverse reinforcement learning and generative adversarial imitation learning, by introducing their formulations and their corresponding robotics applications. Finally, we discuss the open challenges and research frontiers.",Train policies in simulation that perform on a physical robot.,"Use reinforcement learning, robust objectives, demonstrations, curriculum, or adaptation at deployment.",Task return can drive the right invariant behavior despite sparse real feedback.,"Failure explanation, deployment probes, and causal separation between nuisance shift and mechanism shift.",Low-trial diagnostic settings and mechanisms whose repairs reduce immediate reward before improving transfer.,A general sim-trained policy transfer contribution.,A repairable failure-mechanism representation for sample-limited deployment.,12,hostile_prior_work_100,
96,https://openalex.org/W3034637066,https://doi.org/10.1109/robosoft48309.2020.9116004,Scalable sim-to-real transfer of soft robot designs,2020,,Sam Kriegman; Amir Mohammadi Nasab; Dylan Shah; Hannah Steele; Gabrielle Branin; Michael Levin; et al.,67,https://doi.org/10.1109/robosoft48309.2020.9116004,sim-to-real robotics,sim_to_real_core,simulation_training,Scalability; Computer science; Robot; Modular design; Function (biology); Distributed computing; Human–computer interaction; Artificial intelligence; Biology; Evolutionary biology; Operating system; Database,"The manual design of soft robots and their controllers is notoriously challenging, but it could be augmented-or, in some cases, entirely replaced-by automated design tools. Machine learning algorithms can automatically propose, test, and refine designs in simulation, and the most promising ones can then be manufactured in reality (sim2real). However, it is currently not known how to guarantee that behavior generated in simulation can be preserved when deployed in reality. Although many previous studies have devised training protocols that facilitate sim2real transfer of control polices, little to no work has investigated the simulation-reality gap as a function of morphology. This is due in part to an overall lack of tools capable of systematically designing and rapidly manufacturing robots. Here we introduce a low cost, open source, and modular soft robot design and construction kit, and use it to simulate, fabricate, and measure the simulation-reality gap of minimally complex yet soft, locomoting machines. We prove the scalability of this approach by transferring an order of magnitude more robot designs from simulation to reality than any other method. The kit and its instructions can be found here: github.com/skriegman/sim2real4designs.",Use simulation to generate robot training data and policies.,"Procedural simulation, synthetic data, imitation, policy learning, or sim-trained perception.",Simulator coverage and transfer procedures are sufficient for real deployment.,Deployment-time repair mechanism and causal diagnosis.,Mechanism-specific transfer failures hidden by aggregate success rates.,More simulation as the source of robot generalization.,Evidence that adapting failure mechanisms can dominate adapting domain statistics.,11,hostile_prior_work_100,
97,https://openalex.org/W3092868804,https://doi.org/10.3390/act9040104,A Review of Jamming Actuation in Soft Robotics,2020,Actuators,Seth G. Fitzgerald; Gary W. Delaney; David Howard,168,https://doi.org/10.3390/act9040104,reality gap robotics,sim_to_real_core,locomotion,Jamming; Soft robotics; Robotics; Artificial intelligence; Standardization; Computer science; Actuator; Field (mathematics); Systems engineering; Engineering; Human–computer interaction; Control engineering,"Jamming is a popular and versatile soft robotic mechanism, enabling new systems to be developed that can achieve high stiffness variation with minimal volume variation. Numerous applications have been reported, including deep-sea sampling, industrial gripping, and use as paws for legged locomotion. This review explores the state-of-the-art for the three classes of jamming actuator: granular, layer and fibre jamming. We highlight the strengths and weaknesses of these soft robotic systems and propose opportunities for further development. We describe a number of trends, promising avenues for innovative research, and several technology gaps that could push the field forwards if addressed, including the lack of standardization for evaluating the performance of jamming systems. We conclude with perspectives for future studies in soft jamming robotics research, particularly elucidating how emerging technologies, including multi-material 3D printing, can enable the design and creation of increasingly diverse and high-performance soft robotic mechanisms for a myriad of new application areas.","Transfer locomotion policies across terrain, morphology, sensing, and actuator gaps.","Dynamics randomization, privileged training, online adaptation, residual policies, or robust control.",Morphology and terrain variations can be covered by training distributions or latent adaptation.,Named failure mechanisms and their repair semantics.,Aliased failure signatures and non-stationary faults after deployment.,Locomotion sim-to-real through randomized or adaptive policies.,Mechanism-first repair when the robot must choose among incompatible fixes.,11,hostile_prior_work_100,
98,https://openalex.org/W4416748412,https://doi.org/10.1109/iros60139.2025.11246305,ReBot: Scaling Robot Learning with Real-to-Sim-to-Real Robotic Video Synthesis,2025,,Fang Yu; Yue Yang; Xinghao Zhu; Kaiyuan Zheng; Gedas Bertasius; Daniel Szafır; et al.,2,https://doi.org/10.1109/iros60139.2025.11246305,sim-to-real robotics,sim_to_real_core,policy_transfer,Computer science; Robustness (evolution); Scalability; Robot; Artificial intelligence; Generalizability theory; Software deployment; Computer vision; Generalization; Robotics; Domain (mathematical analysis); Training set,"Vision-language-action (VLA) models present a promising paradigm by training policies directly on real robot datasets like Open X-Embodiment. However, the high cost of real-world data collection hinders further data scaling, thereby restricting the generalizability of VLAs. In this paper, we introduce ReBot, a novel real-to-sim-to-real approach for scaling real robot datasets and adapting VLA models to target domains, which is the last-mile deployment challenge in robot manipulation. Specifically, ReBot replays real-world robot trajectories in simulation to diversify manipulated objects (real-to-sim), and integrates the simulated movements with inpainted real-world background to synthesize physically realistic and temporally consistent robot videos (sim-to-real). Our approach has several advantages: 1) it enjoys the benefit of real data to minimize the sim-to-real gap; 2) it leverages the scalability of simulation; and 3) it can generalize a pretrained VLA to a target domain with fully automated data pipelines. Extensive experiments in both simulation and real-world environments show that ReBot significantly enhances the performance and robustness of VLAs. For example, in SimplerEnv with the WidowX robot, ReBot improved the in-domain performance of Octo by 7.2% and OpenVLA by 21.8%, and out-of-domain generalization by 19.9% and 9.4%, respectively. For real-world evaluation with a Franka robot, ReBot increased the success rates of Octo by 17% and OpenVLA by 20%. More information can be found at our project page.",Train policies in simulation that perform on a physical robot.,"Use reinforcement learning, robust objectives, demonstrations, curriculum, or adaptation at deployment.",Task return can drive the right invariant behavior despite sparse real feedback.,"Failure explanation, deployment probes, and causal separation between nuisance shift and mechanism shift.",Low-trial diagnostic settings and mechanisms whose repairs reduce immediate reward before improving transfer.,A general sim-trained policy transfer contribution.,A repairable failure-mechanism representation for sample-limited deployment.,11,hostile_prior_work_100,
99,https://openalex.org/W4399414059,https://doi.org/10.48550/arxiv.2406.01967,DrEureka: Language Model Guided Sim-To-Real Transfer,2024,arXiv (Cornell University),Yecheng Jason Ma; William Liang; Hung-Ju Wang; Sam Wang; Yuke Zhu; Linxi Fan; et al.,7,http://arxiv.org/abs/2406.01967,sim-to-real robotics,sim_to_real_core,locomotion,Transfer (computing); Computer science; Natural language processing; Parallel computing; Transfer (computing); Computer science; Natural language processing; Parallel computing,"Transferring policies learned in simulation to the real world is a promising strategy for acquiring robot skills at scale. However, sim-to-real approaches typically rely on manual design and tuning of the task reward function as well as the simulation physics parameters, rendering the process slow and human-labor intensive. In this paper, we investigate using Large Language Models (LLMs) to automate and accelerate sim-to-real design. Our LLM-guided sim-to-real approach, DrEureka, requires only the physics simulation for the target task and automatically constructs suitable reward functions and domain randomization distributions to support real-world transfer. We first demonstrate that our approach can discover sim-to-real configurations that are competitive with existing human-designed ones on quadruped locomotion and dexterous manipulation tasks. Then, we showcase that our approach is capable of solving novel robot tasks, such as quadruped balancing and walking atop a yoga ball, without iterative manual design.","Transfer locomotion policies across terrain, morphology, sensing, and actuator gaps.","Dynamics randomization, privileged training, online adaptation, residual policies, or robust control.",Morphology and terrain variations can be covered by training distributions or latent adaptation.,Named failure mechanisms and their repair semantics.,Aliased failure signatures and non-stationary faults after deployment.,Locomotion sim-to-real through randomized or adaptive policies.,Mechanism-first repair when the robot must choose among incompatible fixes.,14,hostile_prior_work_100,
100,https://openalex.org/W4405304880,https://doi.org/10.1109/mra.2024.3505784,Bridging the Reality Gap: Analyzing Sim-to-Real Transfer Techniques for Reinforcement Learning in Humanoid Bipedal Locomotion,2024,IEEE Robotics & Automation Magazine,Donghyeon Kim; Hokyun Lee; Junhyeok Cha; Jaeheung Park,7,https://doi.org/10.1109/mra.2024.3505784,sim to real transfer robotics,sim_to_real_core,policy_transfer,Bridging (networking); Humanoid robot; Reinforcement learning; Computer science; Human–computer interaction; Reinforcement; Artificial intelligence; Simulation; Computer vision; Engineering; Robot; Structural engineering,"Reinforcement learning (RL) offers a promising solution for controlling humanoid robots, particularly for bipedal locomotion, by learning adaptive and flexible control strategies. However, direct RL application is hindered by time-consuming trial-and-error processes, necessitating training in simulation before real-world transfer. This introduces a reality gap that degrades performance. Although various methods have been proposed for sim-to-real transfer, they have not been validated on a consistent hardware platform, making it difficult to determine which components are key to overcoming the reality gap. In contrast, we systematically evaluate techniques to enhance RL policy robustness during sim-to-real transfer by controlling variables and comparing them on a single robot to isolate and analyze the impact of each technique. These techniques include dynamics randomization, state history usage, noise/bias/delay modeling, state selection, perturbations, and network size. We quantitatively assess the reality gap by simulating diverse conditions and conducting experiments on real hardware. Our findings provide insights into bridging the reality gap, advancing robust RL-trained humanoid robots for real-world applications.",Train policies in simulation that perform on a physical robot.,"Use reinforcement learning, robust objectives, demonstrations, curriculum, or adaptation at deployment.",Task return can drive the right invariant behavior despite sparse real feedback.,"Failure explanation, deployment probes, and causal separation between nuisance shift and mechanism shift.",Low-trial diagnostic settings and mechanisms whose repairs reduce immediate reward before improving transfer.,A general sim-trained policy transfer contribution.,A repairable failure-mechanism representation for sample-limited deployment.,14,hostile_prior_work_100,
101,https://openalex.org/W4385299175,https://doi.org/10.1109/tai.2023.3299252,Facilitating Sim-to-Real by Intrinsic Stochasticity of Real-Time Simulation in Reinforcement Learning for Robot Manipulation,2023,IEEE Transactions on Artificial Intelligence,Amir M. Soufi Enayati; Ram Dershan; Zengjie Zhang; Dean Richert; Homayoun Najjaran,6,https://doi.org/10.1109/tai.2023.3299252,sim-to-real robotics,sim_to_real_core,domain_randomization,Reinforcement learning; Computer science; Robot; Artificial intelligence; Heuristic; Robotics; Generalizability theory; Task (project management); Simulation; Engineering; Systems engineering; Statistics,"Simulation is essential to reinforcement learning (RL) before implementation in the real world, especially for safety-critical applications like robot manipulation. Conventionally, RL agents are sensitive to the discrepancies between the simulation and the real world, known as the sim-to-real gap. The application of domain randomization, a technique used to fill this gap, is limited to the imposition of heuristic-randomized models. We investigate the properties of intrinsic stochasticity of real-time simulation (RT-IS) of off-the-shelf simulation software and its potential to improve RL performance. This improvement includes a higher tolerance to noise and model imprecision and superiority to conventional domain randomization in terms of ease of use and automation. Firstly, we conduct analytical studies to measure the correlation of RT-IS with the utilization of computer hardware and validate its comparability with the natural stochasticity of a physical robot. Then, we exploit the RT-IS feature in the training of an RL agent. The simulation and physical experiment results verify the feasibility and applicability of RT-IS to robust agent training for robot manipulation tasks. The RT-IS-powered RL agent outperforms conventional agents on robots with modeling uncertainties. RT-IS requires less heuristic randomization, is not task-dependent, and achieves better generalizability than the conventional domain-randomization-powered agents. Our findings provide a new perspective on the sim-to-real problem in practical applications like robot manipulation tasks.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,15,deep_read_240,
102,https://openalex.org/W4309327250,https://doi.org/10.1038/s41528-022-00225-0,UV-laser-machined stretchable multi-modal sensor network for soft robot interaction,2022,npj Flexible Electronics,Jooyeun Ham; Amy Kyungwon Han; Mark R. Cutkosky; Zhenan Bao,49,https://doi.org/10.1038/s41528-022-00225-0,sim to real transfer robotics,sim_to_real_core,contact_manipulation,GRASP; Robot; Soft robotics; Materials science; Computer science; Tactile sensor; Modal; Acoustics; Mechanical engineering; Engineering; Artificial intelligence; Physics,"Abstract Soft robotic hands can facilitate human–robot interaction by allowing robots to grasp a wide range of objects safely and gently. However, their performance has been hampered by a lack of suitable sensing systems. We present a flexible and stretchable multi-modal sensor network integrated with a soft robotic hand. The design of wired sensors on a flexible metalized film was embodied through a manufacturing approach that uses both UV laser metal ablation and plastic cutting simultaneously to create sensor electrode and stretchable conductive wires in a Kirigami pattern into a single network. We evaluated the interconnects and sensors by measuring an impedance change to each external stimulus and showed that are not substantially affected by stretching the network. With the sensor sheet wrapped around a soft robotic gripper, we demonstrated several interaction scenarios, including a warm burrito for food handling, and a warm baby doll for medical applications.","Transfer contact-rich manipulation skills despite friction, compliance, geometry, and sensing gaps.","Model, randomize, or learn contact dynamics and manipulation policies.",Contact uncertainty can be represented as parameters or broad robustness margins.,"Failure onset signatures, controller repair choices, and mechanism-specific contact probes.",Ambiguous contacts with identical task statistics but opposite corrective actions.,Showing that contact dynamics matter for sim-to-real manipulation.,Failure-mechanism diagnosis for contact repairs under few real interactions.,12,deep_read_240,
103,https://openalex.org/W4399629629,https://doi.org/10.1016/j.robot.2024.104731,Sim-to-real transfer of active suspension control using deep reinforcement learning,2024,Robotics and Autonomous Systems,Viktor Wiberg; Erik Wallin; Arvid Fälldin; Tobias Semberg; Morgan Rossander; Eddie Wadbro; et al.,17,https://doi.org/10.1016/j.robot.2024.104731,sim-to-real robotics,sim_to_real_core,domain_randomization,Computer science; Reinforcement learning; Transfer of learning; Suspension (topology); Artificial intelligence; Transfer (computing); Human–computer interaction; Operating system; Pure mathematics; Homotopy; Mathematics; Computer science,"We explore sim-to-real transfer of deep reinforcement learning controllers for a heavy vehicle with active suspensions designed for traversing rough terrain. While related research primarily focuses on lightweight robots with electric motors and fast actuation, this study uses a forestry vehicle with a complex hydraulic driveline and slow actuation. We simulate the vehicle using multibody dynamics and apply system identification to find an appropriate set of simulation parameters. We then train policies in simulation using various techniques to mitigate the sim-to-real gap, including domain randomization, action delays, and a reward penalty to encourage smooth control. In reality, the policies trained with action delays and a penalty for erratic actions perform nearly at the same level as in simulation. In experiments on level ground, the motion trajectories closely overlap when turning to either side, as well as in a route tracking scenario. When faced with a ramp that requires active use of the suspensions, the simulated and real motions are in close alignment. This shows that the actuator model together with system identification yields a sufficiently accurate model of the actuators. We observe that policies trained without the additional action penalty exhibit fast switching or bang–bang control. These present smooth motions and high performance in simulation but transfer poorly to reality. We find that policies make marginal use of the local height map for perception, showing no indications of predictive planning. However, the strong transfer capabilities entail that further development concerning perception and performance can be largely confined to simulation.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,18,deep_read_240,
104,https://openalex.org/W4295046709,https://doi.org/10.1109/lra.2022.3205442,Sim-to-Real Transfer for Fixed-Wing Uncrewed Aerial Vehicle: Pitch Control by High-Fidelity Modelling and Domain Randomization,2022,IEEE Robotics and Automation Letters,Daichi Wada; Sergio A. Araujo-Estrada; Shane P. Windsor,17,https://doi.org/10.1109/lra.2022.3205442,sim to real transfer robotics,sim_to_real_core,domain_randomization,Aileron; Fidelity; Elevator; Controller (irrigation); Computer science; Fixed wing; Offset (computer science); Flight simulator; Reinforcement learning; Control theory (sociology); Heading (navigation); Simulation,"Deep reinforcement learning has great potential to automatically generate flight controllers for uncrewed aerial vehicles (UAVs), however these controllers often fail to perform as expected in real world environments due to differences between the simulation environment and reality. This letter experimentally investigated how this reality gap effect could be mitigated, focusing on fixed-wing UAV pitch control in wind tunnel tests. Three different training approaches were conducted: a baseline approach that used simple linear dynamics, a high-fidelity modeling approach, and a domain randomization approach. It was found that the base line controller was susceptible to the reality gap, while the other two approaches successfully transferred to real tests. To further examine the controllers' capabilities to generalize, a variety of configuration changes were experimentally implemented on the UAV, such as increased inertia, extended elevator area, and aileron offset. While the high-fidelity controller failed to cope with these changes, the controller with domain randomization maintained its performance. These results highlight the importance of selecting appropriate sim-to-real transfer approaches and how domain randomization is applicable to fixed-wing UAV control with uncertainty in real environments.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,18,deep_read_240,
105,https://openalex.org/W2087287335,https://doi.org/10.3389/fneng.2014.00030,Brain-computer interface-based robotic end effector system for wrist and hand rehabilitation: results of a three-armed randomized controlled trial for chronic stroke,2014,Frontiers in Neuroengineering,Kai Keng Ang; Cuntai Guan; Kok Soon Phua; Chuanchu Wang; Longjiang Zhou; Ka Yin Tang; et al.,353,https://doi.org/10.3389/fneng.2014.00030,domain randomization robotics,domain_randomization,contact_manipulation,Brain–computer interface; Randomized controlled trial; Physical medicine and rehabilitation; Rehabilitation; Medicine; Stroke (engine); Physical therapy; Wrist; Motor imagery; Forearm; Electroencephalography; Surgery,"The objective of this study was to investigate the efficacy of an Electroencephalography (EEG)-based Motor Imagery (MI) Brain-Computer Interface (BCI) coupled with a Haptic Knob (HK) robot for arm rehabilitation in stroke patients. In this three-arm, single-blind, randomized controlled trial; 21 chronic hemiplegic stroke patients (Fugl-Meyer Motor Assessment (FMMA) score 10-50), recruited after pre-screening for MI BCI ability, were randomly allocated to BCI-HK, HK or Standard Arm Therapy (SAT) groups. All groups received 18 sessions of intervention over 6 weeks, 3 sessions per week, 90 min per session. The BCI-HK group received 1 h of BCI coupled with HK intervention, and the HK group received 1 h of HK intervention per session. Both BCI-HK and HK groups received 120 trials of robot-assisted hand grasping and knob manipulation followed by 30 min of therapist-assisted arm mobilization. The SAT group received 1.5 h of therapist-assisted arm mobilization and forearm pronation-supination movements incorporating wrist control and grasp-release functions. In all, 14 males, 7 females, mean age 54.2 years, mean stroke duration 385.1 days, with baseline FMMA score 27.0 were recruited. The primary outcome measure was upper extremity FMMA scores measured mid-intervention at week 3, end-intervention at week 6, and follow-up at weeks 12 and 24. Seven, 8 and 7 subjects underwent BCI-HK, HK and SAT interventions respectively. FMMA score improved in all groups, but no intergroup differences were found at any time points. Significantly larger motor gains were observed in the BCI-HK group compared to the SAT group at weeks 3, 12, and 24, but motor gains in the HK group did not differ from the SAT group at any time point. In conclusion, BCI-HK is effective, safe, and may have the potenti","Transfer contact-rich manipulation skills despite friction, compliance, geometry, and sensing gaps.","Model, randomize, or learn contact dynamics and manipulation policies.",Contact uncertainty can be represented as parameters or broad robustness margins.,"Failure onset signatures, controller repair choices, and mechanism-specific contact probes.",Ambiguous contacts with identical task statistics but opposite corrective actions.,Showing that contact dynamics matter for sim-to-real manipulation.,Failure-mechanism diagnosis for contact repairs under few real interactions.,12,deep_read_240,
106,https://openalex.org/W4288278986,https://doi.org/10.48550/arxiv.1907.11200,TuneNet: One-Shot Residual Tuning for System Identification and\n Sim-to-Real Robot Task Transfer,2019,arXiv (Cornell University),Adam Allevato; Elaine Schaertl Short; Mitch Pryor; Andrea L. Thomaz,16,http://arxiv.org/abs/1907.11200,sim-to-real robotics,sim_to_real_core,system_identification,Computer science; Task (project management); Artificial intelligence; Residual; Robot; Identification (biology); Code (set theory); Closing (real estate); Sample (material); Transfer of learning; Machine learning; Algorithm,"As researchers teach robots to perform more and more complex tasks, the need\nfor realistic simulation environments is growing. Existing techniques for\nclosing the reality gap by approximating real-world physics often require\nextensive real world data and/or thousands of simulation samples. This paper\npresents TuneNet, a new machine learning-based method to directly tune the\nparameters of one model to match another using an *iterative residual tuning*\ntechnique. TuneNet estimates the parameter difference between two models using\na single observation from the target and minimal simulation, allowing rapid,\naccurate and sample-efficient parameter estimation. The system can be trained\nvia supervised learning over an auto-generated simulated dataset. We show that\nTuneNet can perform system identification, even when the true parameter values\nlie well outside the distribution seen during training, and demonstrate that\nsimulators tuned with TuneNet outperform existing techniques for predicting\nrigid body motion. Finally, we show that our method can estimate real-world\nparameter values, allowing a robot to perform sim-to-real task transfer on a\ndynamic manipulation task unseen during training. Code and videos are available\nonline at http://bit.ly/2lf1bAw.\n",Estimate physical parameters of the real system and update the simulator or controller.,"Fit masses, friction, delays, gains, or dynamics parameters from observed trajectories.",The chosen parameterization contains the real gap and estimated parameters map monotonically to better control.,"Mechanism library boundaries, unmodeled contacts, failure observability, and nuisance appearance variables.","Non-identifiable parameters, aliased mechanisms with similar rollouts, and repairs that need categorical decisions.",Claims that transfer can be repaired by estimating simulator parameters.,Mechanism-level probes that identify the repair before accurate full-parameter estimation.,18,deep_read_240,
107,https://openalex.org/W4407843124,https://doi.org/10.3390/electronics14050860,Human–Robot Interaction Using Dynamic Hand Gesture for Teleoperation of Quadruped Robots with a Robotic Arm,2025,Electronics,Jianan Xie; Zhen Xu; Jiayu Zeng; Yuyang Gao; Kenji Hashimoto,16,https://doi.org/10.3390/electronics14050860,sim to real transfer robotics,sim_to_real_core,locomotion,Teleoperation; Robot; Gesture; Computer science; Robotic arm; Human–robot interaction; Simulation; Artificial intelligence; Teleoperation; Robot; Gesture; Computer science,"Human–Robot Interaction (HRI) using hand gesture recognition offers an effective and non-contact approach to enhancing operational intuitiveness and user convenience. However, most existing studies primarily focus on either static sign language recognition or the tracking of hand position and orientation in space. These approaches often prove inadequate for controlling complex robotic systems. This paper proposes an advanced HRI system leveraging dynamic hand gestures for controlling quadruped robots equipped with a robotic arm. The proposed system integrates both semantic and pose information from dynamic gestures to enable comprehensive control over the robot’s diverse functionalities. First, a Depth–MediaPipe framework is introduced to facilitate the precise three-dimensional (3D) coordinate extraction of 21 hand bone keypoints. Subsequently, a Semantic-Pose to Motion (SPM) model is developed to analyze and interpret both the pose and semantic aspects of hand gestures. This model translates the extracted 3D coordinate data into corresponding mechanical actions in real-time, encompassing quadruped robot locomotion, robotic arm end-effector tracking, and semantic-based command switching. Extensive real-world experiments demonstrate the proposed system’s effectiveness in achieving real-time interaction and precise control, underscoring its potential for enhancing the usability of complex robotic platforms.","Transfer locomotion policies across terrain, morphology, sensing, and actuator gaps.","Dynamics randomization, privileged training, online adaptation, residual policies, or robust control.",Morphology and terrain variations can be covered by training distributions or latent adaptation.,Named failure mechanisms and their repair semantics.,Aliased failure signatures and non-stationary faults after deployment.,Locomotion sim-to-real through randomized or adaptive policies.,Mechanism-first repair when the robot must choose among incompatible fixes.,12,deep_read_240,
108,https://openalex.org/W4389665592,https://doi.org/10.1109/iros55552.2023.10342471,Robust Visual Sim-to-Real Transfer for Robotic Manipulation,2023,,Ricardo García; Robin Strudel; Shizhe Chen; Etienne Arlaud; Ivan Laptev; Cordelia Schmid,5,https://doi.org/10.1109/iros55552.2023.10342471,sim-to-real robotics,sim_to_real_core,domain_randomization,Computer science; Robot; Artificial intelligence; Robustness (evolution); Benchmark (surveying); Machine learning; Task (project management); Visualization; SAFER; Computer vision; Biochemistry; Geodesy,"Learning visuomotor policies in simulation is much safer and cheaper than in the real world. However, due to discrepancies between the simulated and real data, simulator-trained policies often fail when transferred to real robots. One common approach to bridge the visual sim-to-real domain gap is domain randomization (DR). While previous work mainly evaluates DR for disembodied tasks, such as pose estimation and object detection, here we systematically explore visual domain randomization methods and benchmark them on a rich set of challenging robotic manipulation tasks. In particular, we propose an offline proxy task of cube localization to select DR parameters for texture randomization, lighting randomization, variations of object colors and camera parameters. Notably, we demonstrate that DR parameters have similar impact on our offline proxy task and online policies. We, hence, use offline optimized DR parameters to train visuomotor policies in simulation and directly apply such policies to a real robot. Our approach achieves 93% success rate on average when tested on a diverse set of challenging manipulation tasks. Moreover, we evaluate the robustness of policies to visual variations in real scenes and show that our simulator-trained policies outperform policies learned using real but limited data. Code, simulation environment, real robot datasets and trained models are available at https://www.di.ens.fr/willow/research/robust_s2r/.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,15,deep_read_240,
